event_id,date,amount,variant_id,created_at,number_of_items,uniq_number,version
6,2026-02-01 00:00:00,18329,189,2024-01-09 13:58:07.460119,920,189 - Февраль 2026,1
6,2026-03-01 00:00:00,27524,189,2024-01-09 13:58:07.460119,1380,189 - Март 2026,1
6,2026-04-01 00:00:00,22927,189,2024-01-09 13:58:07.460119,1150,189 - Апрель 2026,1
6,2026-05-01 00:00:00,22927,189,2024-01-09 13:58:07.460119,1150,189 - Май 2026,1
6,2026-06-01 00:00:00,22927,189,2024-01-09 13:58:07.460119,1150,189 - Июнь 2026,1
6,2026-07-01 00:00:00,31122,189,2024-01-09 13:58:07.460119,1560,189 - Июль 2026,1
6,2026-08-01 00:00:00,51912,189,2024-01-09 13:58:07.460119,2600,189 - Август 2026,1
6,2026-09-01 00:00:00,51912,189,2024-01-09 13:58:07.460119,2600,189 - Сентябрь 2026,1
6,2026-10-01 00:00:00,51912,189,2024-01-09 13:58:07.460119,2600,189 - Октябрь 2026,1
6,2026-11-01 00:00:00,77899,189,2024-01-09 13:58:07.460119,3900,189 - Ноябрь 2026,1
6,2026-12-01 00:00:00,103886,189,2024-01-09 13:58:07.460119,5200,189 - Декабрь 2026,1
6,2027-01-01 00:00:00,20728,189,2024-01-09 13:58:07.460119,1040,189 - Январь 2027,1
6,2027-02-01 00:00:00,20728,189,2024-01-09 13:58:07.460119,1040,189 - Февраль 2027,1
6,2027-03-01 00:00:00,31122,189,2024-01-09 13:58:07.460119,1560,189 - Март 2027,1
6,2027-04-01 00:00:00,25925,189,2024-01-09 13:58:07.460119,1300,189 - Апрель 2027,1
6,2027-05-01 00:00:00,25925,189,2024-01-09 13:58:07.460119,1300,189 - Май 2027,1
6,2027-06-01 00:00:00,25925,189,2024-01-09 13:58:07.460119,1300,189 - Июнь 2027,1
6,2027-07-01 00:00:00,33521,189,2024-01-09 13:58:07.460119,1680,189 - Июль 2027,1
6,2022-06-01 00:00:00,0,193,2024-01-09 13:59:19.415559,0,193 - Июнь 2022,1
6,2022-07-01 00:00:00,0,193,2024-01-09 13:59:19.415559,0,193 - Июль 2022,1
6,2022-08-01 00:00:00,0,193,2024-01-09 13:59:19.415559,0,193 - Август 2022,1
6,2022-09-01 00:00:00,0,193,2024-01-09 13:59:19.415559,0,193 - Сентябрь 2022,1
